Vehicle_ID,Type,Mileage,Daily_Lease_Cost_USD,Maintenance_Status,Fuel_Consumed_Gal
CL-V-001,SANY,20118,152.51,In Maintenance,46.9
CL-V-002,JLG,36773,96.73,Operational,18.1
CL-V-003,NTV,2899,200.37,Operational,45.1
CL-V-004,SANY,2267,223.81,Operational,25.2
CL-V-005,SANY,32551,180.4,Operational,39.8
CL-V-006,JLG,12394,386.63,Pending Parts,39.8
CL-V-007,NTV,4556,212.0,In Maintenance,34.5
CL-V-008,NTV,4890,183.95,Operational,10.0
CL-V-009,SANY,42606,280.8,In Maintenance,50.9
CL-V-010,MHE,31740,132.14,In Maintenance,22.6
CL-V-011,SANY,15502,376.81,Operational,15.3
CL-V-012,SANY,22777,107.58,In Maintenance,7.2
CL-V-013,SANY,11627,445.15,Operational,37.5
CL-V-014,SANY,9792,365.73,In Maintenance,42.3
CL-V-015,JLG,44323,153.52,In Maintenance,5.9
CL-V-016,NTV,44021,82.04,Operational,33.2
CL-V-017,JLG,9433,381.72,Operational,17.5
CL-V-018,JLG,44001,341.54,Operational,40.5
CL-V-019,JLG,12016,349.73,Operational,14.6
CL-V-020,SANY,24897,365.37,In Maintenance,43.0
CL-V-021,MHE,3612,107.4,In Maintenance,26.3
CL-V-022,NTV,24483,212.63,Operational,56.5
CL-V-023,MHE,49555,122.87,Operational,12.6
CL-V-024,JLG,18159,399.35,Operational,23.8
CL-V-025,JLG,45974,310.62,Operational,11.2
CL-V-026,MHE,41994,202.43,Operational,55.9
CL-V-027,MHE,15541,103.52,Operational,53.3
CL-V-028,MHE,36920,195.06,Pending Parts,19.2
CL-V-029,JLG,27531,200.32,Operational,41.3
CL-V-030,JLG,2585,349.95,Operational,49.9
CL-V-031,NTV,4943,315.9,In Maintenance,35.5
CL-V-032,NTV,24939,408.27,Operational,34.1
CL-V-033,JLG,20457,254.72,Pending Parts,18.3
CL-V-034,MHE,2021,124.25,Pending Parts,10.1
CL-V-035,MHE,12653,343.9,Operational,54.3
CL-V-036,NTV,44573,361.49,Operational,54.5
CL-V-037,JLG,14417,287.67,Operational,39.8
CL-V-038,NTV,41757,365.26,Operational,23.6
CL-V-039,NTV,10692,262.7,Operational,24.2
CL-V-040,SANY,46758,273.41,Operational,44.9
CL-V-041,SANY,7873,238.19,Operational,54.3
CL-V-042,SANY,6675,89.41,Operational,53.8
CL-V-043,MHE,1161,119.92,Operational,47.9
CL-V-044,JLG,38065,91.63,Pending Parts,40.3
CL-V-045,JLG,27557,315.47,Operational,9.6
CL-V-046,JLG,34763,196.31,Operational,13.9
CL-V-047,JLG,33606,268.17,Operational,54.4
CL-V-048,SANY,12534,415.8,Pending Parts,38.4
CL-V-049,MHE,30127,172.24,Operational,5.5
CL-V-050,MHE,41397,231.84,Operational,10.6
